country_name,year,gdp,gdpgrowth,gdppercap2010usd,gdppercapcurrentusd,percenttradegpd
Argentina,2019,445445177459.426,-2.08801486381233,9742.45541691587,9912.28180859803,32.6276437331024
Armenia,2017,11527458565.7334,7.50000000164144,4198.79474869834,3914.5012684128,87.202376539837
Armenia,2018,12457941907.0333,5.19999999965324,4406.70643384286,4220.49027671249,92.473107021212
Armenia,2019,13672802157.8324,7.59999999853918,4732.06950610049,4622.73349328671,95.7371808943261
Aruba,2017,3056424581.00559,1.9999991044233,26630.2052807325,29007.6930034887,144.964357521477
Australia,2017,1329188475752.32,2.30061062359425,56058.4659514366,54027.9668184568,41.8187203488936
Australia,2018,1432881172002.17,2.94928577160958,56832.0504820575,57354.9640455891,43.2626476825205
Australia,2019,1396567014733.23,2.16095629535999,57186.6212930671,55060.3261005013,45.7104594710859
Austria,2017,417237869115.93,2.39958760332166,49031.1070286152,47426.5119597773,104.944224211506
Austria,2018,455094861902.062,2.58012073304926,50051.7859126367,51478.2852619277,108.110820195531
Austria,2019,445075391688.156,1.41873427248989,50552.9061212823,50137.6627762476,107.779781982421
Azerbaijan,2017,40865558912.3867,0.153614646686307,5764.69251955865,4147.08971569171,90.4023156823216
Azerbaijan,2018,47112941176.4706,1.50040170699388,5800.71518438101,4739.84171028393,91.6725765369825
Azerbaijan,2019,48047647058.8235,2.21870427670241,5879.99265435911,4793.58701966989,86.0438780132467
Bahamas,2017,12490700000,3.11561351467324,28282.518097005,32718.6381008013,76.3391963620934
Bahamas,2018,13022100000,3.02599916773715,28845.2557704818,33767.5033710196,77.7977438354797
Bahamas,2019,13578800000,1.21787385742007,28908.5485742501,34863.7420984795,75.9198161840516
Bahrain,2017,35473776595.7447,4.29094977756338,22167.0782833708,23742.9850166355,143.086667256454
Bahrain,2018,37652500000,1.77943344650697,21478.1144253022,23991.05667694,151.404854301726
Bahrain,2019,38574069148.9362,1.8191745112009,20912.9868841525,23503.977126673,0
Bangladesh,2017,249711027660.253,7.28417442269364,1127.2715619676,1563.91369862485,35.3040000906967
Bangladesh,2018,274039092455.306,7.86374303036237,1203.21642542608,1698.35039428122,38.2448929879071
Bangladesh,2019,302571254131.135,8.15268494677524,1287.8215971097,1855.73982408046,36.7592997489934
Barbados,2017,4978000000,0.475110679192298,16254.2404265057,17391.4258663397,82.9143009240659
Barbados,2018,5086500000,-0.580333154218167,16136.9099326335,17745.1934649963,80.992899832891
Barbados,2019,5209000000,-0.0961355529131964,16099.8284121592,18148.2449264001,83.6916711460933
Belarus,2017,54726595249.1849,2.53218350023035,6375.28892983321,5761.74712023007,133.367754723012
Belarus,2018,60031262269.3365,3.14919759374963,6586.2977396088,6330.0752464187,139.393736250171
Belarus,2019,63080457022.6599,1.22209662862558,6678.5090648389,6663.29529282582,133.345989479484
Belgium,2017,502698069366.942,1.60808683450885,46409.1300759444,44192.6230270333,165.34775639333
Belgium,2018,543734366831.215,1.81229599862863,47035.6139543386,47583.0749405066,166.237087316477
Belgium,2019,533097455834.509,1.7438195246211,47618.2982067854,46420.6637668061,163.057248868288
Belize,2017,1836600000,1.87019515079834,4211.59954966434,4887.5772083381,113.411093869106
Belize,2018,1871200000,2.07894927799144,4217.20716116883,4884.7341615523,115.710263467294
